Type,Value
MEM,41.3672 MB
CPU,
MEM,
CPU,93.3
MEM,41.3672 MB
CPU,
MEM,
CPU,93.3
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,93.3
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.3672 MB
CPU,
MEM,
CPU,87.5
MEM,41.3672 MB
CPU,
MEM,
CPU,93.3
MEM,41.3672 MB
CPU,
MEM,
CPU,86.7
MEM,41.625 MB
CPU,
MEM,
CPU,86.7
MEM,41.625 MB
CPU,
MEM,
CPU,80.0
MEM,41.625 MB
CPU,
MEM,
CPU,93.3
MEM,41.625 MB
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
CPU,
MEM,
