Type,Value
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,0.0
MEM,3.82422 MB
CPU,26.7
MEM,3.82422 MB
CPU,0.0
MEM,17.5391 MB
CPU,0.0
MEM,17.5391 MB
CPU,0.0
MEM,17.5391 MB
CPU,33.3
MEM,18.0391 MB
CPU,33.3
MEM,18.5508 MB
CPU,20.0
MEM,19.3242 MB
CPU,33.3
MEM,20.3555 MB
CPU,20.0
MEM,21.6445 MB
CPU,26.7
MEM,22.6758 MB
CPU,31.2
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,40.0
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,18.8
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,40.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,40.0
MEM,22.6758 MB
CPU,31.2
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,40.0
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,31.2
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,33.3
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,13.3
MEM,22.6758 MB
CPU,20.0
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,26.7
MEM,22.6758 MB
CPU,0.0
MEM,22.6758 MB
CPU,0.0
MEM,22.6758 MB
CPU,0.0
MEM,22.6758 MB
CPU,0.0
MEM,22.6758 MB
