Type,Value
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,40.9805 MB
CPU,0.0
MEM,41.3242 MB
CPU,13.3
MEM,39.9805 MB
CPU,6.7
MEM,50.2266 MB
CPU,0.0
MEM,53.3008 MB
CPU,0.0
MEM,53.3008 MB
CPU,50.0
MEM,59.3164 MB
CPU,66.7
MEM,59.5742 MB
CPU,60.0
MEM,60.5938 MB
CPU,66.7
MEM,61.3594 MB
CPU,56.2
MEM,62.1328 MB
CPU,60.0
MEM,63.1523 MB
CPU,60.0
MEM,63.9258 MB
CPU,60.0
MEM,64.957 MB
CPU,62.5
MEM,65.7188 MB
CPU,66.7
MEM,66.4883 MB
CPU,60.0
MEM,65.9297 MB
CPU,66.7
MEM,65.9297 MB
CPU,66.7
MEM,65.9297 MB
CPU,66.7
MEM,65.9297 MB
CPU,60.0
MEM,65.9297 MB
CPU,73.3
MEM,66.1016 MB
CPU,66.7
MEM,66.1016 MB
CPU,60.0
MEM,66.1016 MB
CPU,66.7
MEM,66.1016 MB
CPU,66.7
MEM,66.6172 MB
CPU,66.7
MEM,66.9336 MB
CPU,53.3
MEM,66.9336 MB
CPU,53.3
MEM,66.9336 MB
CPU,60.0
MEM,66.9336 MB
CPU,80.0
MEM,66.9336 MB
CPU,80.0
MEM,66.9336 MB
CPU,73.3
MEM,66.9336 MB
CPU,66.7
MEM,66.9336 MB
CPU,80.0
MEM,66.9336 MB
CPU,60.0
MEM,66.9336 MB
CPU,73.3
MEM,66.9336 MB
CPU,60.0
MEM,67.0469 MB
CPU,80.0
MEM,67.0469 MB
CPU,66.7
MEM,67.0469 MB
CPU,53.3
MEM,67.0469 MB
CPU,73.3
MEM,67.0469 MB
CPU,60.0
MEM,67.0469 MB
CPU,53.3
MEM,67.0469 MB
CPU,66.7
MEM,67.0469 MB
CPU,60.0
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,73.3
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,66.7
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,66.7
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,56.2
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,60.0
MEM,66.7969 MB
CPU,66.7
MEM,66.7969 MB
CPU,66.7
MEM,66.7969 MB
CPU,53.3
MEM,66.7969 MB
CPU,66.7
MEM,66.9766 MB
CPU,60.0
MEM,66.9766 MB
CPU,73.3
MEM,66.9766 MB
CPU,66.7
MEM,66.9766 MB
CPU,73.3
MEM,66.9766 MB
CPU,66.7
MEM,66.9766 MB
CPU,66.7
MEM,67.2344 MB
CPU,73.3
MEM,67.2344 MB
CPU,60.0
MEM,67.2344 MB
CPU,60.0
MEM,67.2344 MB
CPU,60.0
MEM,67.2344 MB
CPU,53.3
MEM,67.2344 MB
CPU,60.0
MEM,67.2344 MB
CPU,0.0
MEM,67.2773 MB
CPU,0.0
MEM,67.2773 MB
