Type,Value
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,0.0
MEM,40.3008 MB
CPU,13.3
MEM,40.3008 MB
CPU,0.0
MEM,40.8281 MB
CPU,0.0
MEM,40.8281 MB
CPU,6.2
MEM,40.8281 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
MEM,41.0352 MB
CPU,0.0
