Type,Value
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,6.7
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,6.7
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,4.75391 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,6.7
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,6.7
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
CPU,0.0
MEM,5.00781 MB
