Type,Value
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,66.7
MEM,41.125 MB
CPU,0.0
MEM,50.7852 MB
CPU,0.0
MEM,55.4023 MB
CPU,26.7
MEM,55.4023 MB
CPU,93.3
MEM,61.4297 MB
CPU,99.9
MEM,61.4297 MB
CPU,93.3
MEM,61.9453 MB
CPU,93.3
MEM,63.2188 MB
CPU,93.3
MEM,64.2305 MB
CPU,99.9
MEM,65 MB
CPU,86.7
MEM,65.7734 MB
CPU,93.3
MEM,66.7969 MB
CPU,86.7
MEM,67.1055 MB
CPU,93.3
MEM,67.1055 MB
CPU,86.7
MEM,67.1055 MB
CPU,93.3
MEM,67.1055 MB
CPU,99.9
MEM,67.1055 MB
CPU,93.3
MEM,67.1055 MB
CPU,80.0
MEM,67.1055 MB
CPU,86.7
MEM,67.1055 MB
CPU,93.3
MEM,67.1055 MB
CPU,99.9
MEM,67.6211 MB
CPU,86.7
MEM,67.7148 MB
CPU,99.9
MEM,67.7148 MB
CPU,99.9
MEM,67.7148 MB
CPU,86.7
MEM,67.7148 MB
CPU,86.7
MEM,67.7148 MB
CPU,66.7
MEM,67.7148 MB
CPU,93.8
MEM,67.7148 MB
CPU,86.7
MEM,67.7148 MB
CPU,99.9
MEM,67.7148 MB
CPU,93.8
MEM,67.7148 MB
CPU,93.3
MEM,67.7148 MB
CPU,93.3
MEM,67.7148 MB
CPU,93.3
MEM,67.7148 MB
CPU,73.3
MEM,67.7148 MB
CPU,80.0
MEM,67.8906 MB
CPU,80.0
MEM,67.8906 MB
CPU,73.3
MEM,67.5117 MB
CPU,99.9
MEM,67.5117 MB
CPU,86.7
MEM,67.5117 MB
CPU,73.3
MEM,67.5117 MB
CPU,86.7
MEM,67.5117 MB
CPU,80.0
MEM,67.5117 MB
CPU,86.7
MEM,67.5117 MB
CPU,93.3
MEM,67.5117 MB
CPU,86.7
MEM,67.5117 MB
CPU,73.3
MEM,67.875 MB
CPU,86.7
MEM,67.875 MB
CPU,93.3
MEM,67.875 MB
CPU,66.7
MEM,67.875 MB
CPU,93.3
MEM,67.875 MB
CPU,93.3
MEM,67.875 MB
CPU,68.8
MEM,67.875 MB
CPU,99.9
MEM,67.875 MB
CPU,80.0
MEM,67.875 MB
CPU,80.0
MEM,67.832 MB
CPU,93.3
MEM,67.832 MB
CPU,86.7
MEM,67.832 MB
CPU,73.3
MEM,67.832 MB
CPU,80.0
MEM,67.832 MB
CPU,99.9
MEM,67.832 MB
CPU,93.3
MEM,67.832 MB
CPU,99.9
MEM,67.832 MB
CPU,99.9
MEM,67.832 MB
CPU,99.9
MEM,69.4922 MB
CPU,99.9
MEM,69.4922 MB
CPU,68.8
MEM,69.4922 MB
CPU,99.9
MEM,69.4922 MB
CPU,86.7
MEM,69.4922 MB
CPU,87.5
MEM,69.4922 MB
CPU,86.7
MEM,69.4922 MB
CPU,86.7
MEM,69.4922 MB
CPU,86.7
MEM,69.4922 MB
CPU,99.9
MEM,67.7539 MB
CPU,80.0
MEM,67.7539 MB
CPU,0.0
MEM,67.8945 MB
