Type,Value
CPU,0.0
MEM,3.82031 MB
CPU,0.0
MEM,3.82031 MB
CPU,0.0
MEM,3.82031 MB
CPU,0.0
MEM,3.82031 MB
CPU,0.0
MEM,3.82031 MB
CPU,0.0
MEM,3.82031 MB
CPU,33.3
MEM,9.34766 MB
CPU,0.0
MEM,18.8945 MB
CPU,0.0
MEM,27.5898 MB
CPU,26.7
MEM,27.8477 MB
CPU,53.3
MEM,29.3945 MB
CPU,80.0
MEM,32.2305 MB
CPU,86.7
MEM,36.0977 MB
CPU,80.0
MEM,36.3555 MB
CPU,86.7
MEM,36.3555 MB
CPU,86.7
MEM,37.8867 MB
CPU,73.3
MEM,37.8867 MB
CPU,86.7
MEM,37.8867 MB
CPU,86.7
MEM,37.8867 MB
CPU,80.0
MEM,37.8867 MB
CPU,86.7
MEM,37.8867 MB
CPU,93.8
MEM,37.8867 MB
CPU,93.3
MEM,37.8867 MB
CPU,80.0
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,99.9
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,87.5
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,86.7
MEM,38.1172 MB
CPU,80.0
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,68.8
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,87.5
MEM,38.1172 MB
CPU,93.3
MEM,38.1172 MB
CPU,73.3
MEM,38.1172 MB
CPU,6.7
MEM,38.1875 MB
