Type,Value
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.2
MEM,9.99609 MB
CPU,0.0
MEM,10.2383 MB
CPU,0.0
MEM,10.2383 MB
CPU,6.7
MEM,10.2383 MB
CPU,6.7
MEM,10.2383 MB
CPU,0.0
MEM,10.1211 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,6.7
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
MEM,9.99609 MB
