Type,Value
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,6.7
MEM,3.81641 MB
CPU,0.0
MEM,7.19141 MB
CPU,0.0
MEM,7.19141 MB
CPU,0.0
MEM,7.19141 MB
CPU,0.0
MEM,7.19141 MB
CPU,6.7
MEM,7.19141 MB
CPU,0.0
MEM,7.43359 MB
CPU,6.2
MEM,7.43359 MB
CPU,0.0
MEM,7.43359 MB
CPU,0.0
MEM,7.43359 MB
CPU,0.0
MEM,7.69141 MB
CPU,0.0
MEM,7.69141 MB
CPU,0.0
MEM,7.69141 MB
CPU,6.7
MEM,7.88672 MB
CPU,0.0
MEM,7.88672 MB
CPU,0.0
MEM,7.88672 MB
CPU,0.0
MEM,7.88672 MB
CPU,6.2
MEM,7.88672 MB
CPU,6.7
MEM,7.88672 MB
CPU,0.0
MEM,8.14062 MB
CPU,0.0
MEM,8.14062 MB
CPU,0.0
MEM,8.14062 MB
CPU,13.3
MEM,8.14062 MB
CPU,0.0
MEM,8.39844 MB
CPU,0.0
MEM,8.39844 MB
CPU,0.0
MEM,8.39844 MB
CPU,0.0
MEM,8.39844 MB
CPU,0.0
MEM,8.65234 MB
CPU,0.0
MEM,8.65234 MB
CPU,6.7
MEM,8.66016 MB
CPU,0.0
MEM,8.66016 MB
CPU,0.0
MEM,8.66016 MB
CPU,0.0
MEM,8.66016 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,6.7
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,8.90625 MB
CPU,0.0
MEM,9.15234 MB
CPU,0.0
MEM,9.15234 MB
CPU,0.0
MEM,9.15234 MB
CPU,0.0
MEM,9.15234 MB
CPU,0.0
MEM,9.41016 MB
CPU,0.0
MEM,9.41016 MB
CPU,0.0
MEM,9.41016 MB
CPU,6.7
MEM,9.41016 MB
CPU,0.0
MEM,9.66406 MB
CPU,0.0
MEM,9.66406 MB
CPU,13.3
MEM,9.66406 MB
CPU,0.0
MEM,9.66406 MB
CPU,0.0
MEM,9.92188 MB
CPU,0.0
MEM,9.92188 MB
CPU,0.0
MEM,10.2695 MB
CPU,0.0
MEM,9.99609 MB
CPU,0.0
