TICK,0,601
TICK,1,12
TICK,2,2
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,598
TICK,1,12
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,601
TICK,1,6
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,599
TICK,1,9
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,603
TICK,1,8
TICK,2,1
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,591
TICK,1,17
TICK,2,4
TICK,3,0
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,598
TICK,1,10
TICK,2,5
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,595
TICK,1,14
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,597
TICK,1,11
TICK,2,3
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,592
TICK,1,15
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,598
TICK,1,12
TICK,2,1
TICK,3,2
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,593
TICK,1,14
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,592
TICK,1,14
TICK,2,5
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,600
TICK,1,8
TICK,2,3
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,590
TICK,1,17
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,597
TICK,1,9
TICK,2,2
TICK,3,1
TICK,4,1
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,597
TICK,1,11
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,616
TICK,1,15
TICK,2,4
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,598
TICK,1,10
TICK,2,3
TICK,3,1
TICK,4,0
TICK,5,0
TICK,6,0
TICK,7,0
TICK,0,593
TICK,1,12
TICK,2,5
TICK,3,0
TICK,4,0
TICK,5,1
TICK,6,0
TICK,7,0
TICK,0,598
TICK,1,10
TICK,2,3
TICK,3,0
TICK,4,0
