Type,Value
CPU,43.8
MEM,25.6484 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,0.0
MEM,41.6172 MB
CPU,20.0
MEM,41.6172 MB
CPU,13.3
MEM,42.375 MB
CPU,13.3
MEM,45.1406 MB
CPU,13.3
MEM,47.9414 MB
CPU,0.0
MEM,49.7383 MB
CPU,0.0
MEM,47.043 MB
CPU,0.0
MEM,45.7461 MB
CPU,0.0
MEM,45.7461 MB
CPU,6.7
MEM,46.7383 MB
CPU,20.0
MEM,48.2773 MB
CPU,12.5
MEM,50.5703 MB
CPU,13.3
MEM,53.3789 MB
CPU,60.0
MEM,56.1602 MB
CPU,53.3
MEM,60.3555 MB
CPU,53.3
MEM,60.6133 MB
CPU,53.3
MEM,60.6133 MB
CPU,53.3
MEM,60.6133 MB
CPU,53.3
MEM,60.6133 MB
CPU,53.3
MEM,60.6133 MB
CPU,53.3
MEM,60.8516 MB
CPU,46.7
MEM,60.8516 MB
CPU,53.3
MEM,60.8516 MB
CPU,46.7
MEM,61.1094 MB
CPU,60.0
MEM,61.1094 MB
CPU,53.3
MEM,61.1094 MB
CPU,56.2
MEM,61.1094 MB
CPU,53.3
MEM,61.1094 MB
CPU,53.3
MEM,61.3672 MB
CPU,50.0
MEM,61.6094 MB
CPU,56.2
MEM,61.8672 MB
CPU,53.3
MEM,61.8672 MB
CPU,60.0
MEM,61.8672 MB
CPU,53.3
MEM,61.8672 MB
CPU,53.3
MEM,62.125 MB
CPU,53.3
MEM,62.125 MB
CPU,53.3
MEM,62.125 MB
CPU,53.3
MEM,62.125 MB
CPU,46.7
MEM,62.625 MB
CPU,60.0
MEM,62.625 MB
CPU,60.0
MEM,62.625 MB
CPU,60.0
MEM,62.625 MB
CPU,53.3
MEM,62.8828 MB
CPU,53.3
MEM,62.8828 MB
CPU,46.7
MEM,63.6445 MB
CPU,53.3
MEM,63.6445 MB
CPU,50.0
MEM,63.8203 MB
CPU,53.3
MEM,63.8203 MB
CPU,20.0
MEM,63.8203 MB
CPU,26.7
MEM,63.8203 MB
CPU,13.3
MEM,63.8203 MB
CPU,26.7
MEM,63.8203 MB
CPU,26.7
MEM,63.8203 MB
CPU,46.7
MEM,63.8203 MB
CPU,46.7
MEM,63.8203 MB
CPU,53.3
MEM,63.8203 MB
CPU,50.0
MEM,63.8203 MB
CPU,60.0
MEM,63.8203 MB
CPU,53.3
MEM,63.8203 MB
CPU,60.0
MEM,63.8203 MB
CPU,46.7
MEM,63.8203 MB
