Type,Value
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.09375 MB
CPU,0.0
MEM,2.39844 MB
CPU,0.0
MEM,8.32812 MB
CPU,0.0
MEM,9.10156 MB
CPU,0.0
MEM,9.10156 MB
CPU,13.3
MEM,9.35938 MB
CPU,13.3
MEM,9.35938 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.2
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,12.5
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,20.0
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.2
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,20.0
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,0.0
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,12.5
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,6.7
MEM,9.875 MB
CPU,13.3
MEM,9.875 MB
CPU,13.3
MEM,10.3906 MB
CPU,6.7
MEM,10.6484 MB
