Type,Value
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,2.08203 MB
CPU,0.0
MEM,10.3789 MB
CPU,13.3
MEM,12.6992 MB
CPU,6.7
MEM,15.5352 MB
CPU,26.7
MEM,15.793 MB
CPU,20.0
MEM,16.5664 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,40.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,31.2
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,40.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,13.3
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,25.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,18.8
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,20.0
MEM,17.8555 MB
CPU,33.3
MEM,17.8555 MB
CPU,26.7
MEM,17.8555 MB
CPU,6.7
MEM,17.8555 MB
