Type,Value
CPU,31.2
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,18.8
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,46.7
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,12.5
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,6.2
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,12.5
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,26.7
MEM,60.8594
CPU,6.2
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,13.3
MEM,60.8594
CPU,0.0
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,40.0
MEM,60.8594
CPU,6.7
MEM,60.8594
CPU,46.7
MEM,60.8594
CPU,20.0
MEM,60.8594
CPU,46.7
MEM,60.8594
CPU,33.3
MEM,60.8594
CPU,22.7
MEM,60.8594
