Type,Value
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,3.81641 MB
CPU,0.0
MEM,10.0039 MB
CPU,0.0
MEM,10.0039 MB
CPU,0.0
MEM,10.0039 MB
CPU,6.7
MEM,10.0039 MB
CPU,13.3
MEM,10.2461 MB
CPU,0.0
MEM,10.2461 MB
CPU,0.0
MEM,10.2461 MB
CPU,6.7
MEM,10.4922 MB
CPU,6.7
MEM,11.0039 MB
CPU,0.0
MEM,11.2617 MB
CPU,0.0
MEM,11.2617 MB
CPU,6.7
MEM,11.5156 MB
CPU,6.7
MEM,11.6641 MB
CPU,6.7
MEM,11.9102 MB
CPU,6.7
MEM,11.9102 MB
CPU,0.0
MEM,11.9102 MB
CPU,13.3
MEM,11.9102 MB
CPU,0.0
MEM,11.9102 MB
CPU,0.0
MEM,11.9102 MB
CPU,13.3
MEM,11.9102 MB
CPU,6.7
MEM,11.9102 MB
CPU,0.0
MEM,11.9102 MB
CPU,0.0
MEM,11.8945 MB
CPU,0.0
MEM,11.8945 MB
CPU,6.7
MEM,11.8945 MB
CPU,13.3
MEM,11.8945 MB
CPU,6.7
MEM,11.8945 MB
CPU,0.0
MEM,11.8945 MB
CPU,0.0
MEM,11.8945 MB
CPU,6.7
MEM,11.8945 MB
CPU,6.7
MEM,11.8945 MB
CPU,6.7
MEM,11.8945 MB
CPU,0.0
MEM,11.8438 MB
CPU,6.7
MEM,11.8438 MB
CPU,6.7
MEM,11.8438 MB
CPU,6.7
MEM,11.8438 MB
CPU,6.7
MEM,11.8438 MB
CPU,0.0
MEM,11.8438 MB
CPU,0.0
MEM,11.8438 MB
CPU,6.7
MEM,11.8438 MB
CPU,0.0
MEM,11.8438 MB
CPU,13.3
MEM,11.8438 MB
CPU,6.7
MEM,12.0938 MB
CPU,6.7
MEM,11.9219 MB
CPU,13.3
MEM,11.9219 MB
CPU,6.7
MEM,11.9219 MB
CPU,6.7
MEM,11.9219 MB
CPU,0.0
MEM,11.9219 MB
CPU,0.0
MEM,11.9219 MB
CPU,6.7
MEM,11.9219 MB
CPU,0.0
MEM,11.9219 MB
CPU,6.7
MEM,11.9219 MB
CPU,0.0
MEM,12.1758 MB
CPU,0.0
MEM,11.918 MB
CPU,0.0
MEM,11.918 MB
CPU,0.0
MEM,11.918 MB
CPU,0.0
MEM,11.918 MB
CPU,6.7
MEM,11.918 MB
CPU,0.0
MEM,11.918 MB
CPU,6.7
MEM,11.918 MB
CPU,6.7
MEM,11.918 MB
CPU,13.3
MEM,11.918 MB
CPU,6.7
MEM,12.1719 MB
CPU,0.0
MEM,11.875 MB
CPU,6.7
MEM,11.875 MB
CPU,0.0
MEM,11.875 MB
CPU,6.7
MEM,11.875 MB
CPU,0.0
MEM,11.875 MB
CPU,6.7
MEM,11.875 MB
CPU,0.0
MEM,11.875 MB
CPU,6.7
MEM,11.875 MB
CPU,6.7
MEM,11.875 MB
CPU,0.0
MEM,11.875 MB
CPU,0.0
MEM,11.9453 MB
CPU,0.0
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,13.3
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,6.7
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,0.0
MEM,11.8047 MB
CPU,6.7
MEM,12.0625 MB
CPU,13.3
MEM,11.8242 MB
CPU,0.0
MEM,11.8242 MB
CPU,6.7
MEM,11.8242 MB
CPU,0.0
MEM,11.8242 MB
CPU,6.7
MEM,11.8242 MB
CPU,0.0
MEM,11.8242 MB
CPU,6.7
MEM,11.8242 MB
CPU,6.7
MEM,11.8242 MB
CPU,0.0
MEM,12.0781 MB
CPU,0.0
MEM,12.0781 MB
CPU,6.7
MEM,11.9258 MB
CPU,6.7
MEM,11.9258 MB
CPU,6.7
MEM,11.9258 MB
CPU,0.0
MEM,11.9258 MB
CPU,0.0
MEM,11.9258 MB
CPU,0.0
MEM,11.9258 MB
CPU,0.0
MEM,11.9258 MB
CPU,0.0
MEM,11.9258 MB
CPU,6.7
MEM,11.9258 MB
CPU,0.0
MEM,12.1797 MB
CPU,6.7
MEM,11.8711 MB
CPU,13.3
MEM,11.8711 MB
CPU,0.0
MEM,11.8711 MB
CPU,0.0
MEM,11.8711 MB
CPU,6.7
MEM,11.8711 MB
CPU,13.3
MEM,11.8711 MB
CPU,13.3
MEM,11.8711 MB
CPU,6.7
MEM,11.8711 MB
CPU,0.0
MEM,11.8711 MB
CPU,6.7
MEM,12.125 MB
CPU,0.0
MEM,11.8633 MB
CPU,6.7
MEM,11.8633 MB
CPU,13.3
MEM,11.8633 MB
CPU,0.0
MEM,11.8633 MB
CPU,6.7
MEM,11.8633 MB
CPU,0.0
MEM,11.8633 MB
CPU,0.0
MEM,11.8633 MB
