Type,Value
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,17.1836 MB
CPU,0.0
MEM,17.6992 MB
CPU,6.7
MEM,17.6992 MB
CPU,33.3
MEM,17.957 MB
CPU,86.7
MEM,21.8242 MB
CPU,66.7
MEM,36.2617 MB
CPU,66.7
MEM,37.5508 MB
CPU,66.7
MEM,37.5508 MB
CPU,87.5
MEM,37.8906 MB
CPU,99.9
MEM,38.25 MB
CPU,99.9
MEM,38.1445 MB
CPU,81.2
MEM,43.043 MB
CPU,73.3
MEM,52.582 MB
CPU,66.7
MEM,64.6992 MB
CPU,60.0
MEM,78.1055 MB
CPU,40.9
MEM,90.0195 MB
CPU,60.0
MEM,102.426 MB
CPU,43.8
MEM,116.059 MB
CPU,46.7
MEM,128.434 MB
CPU,60.0
MEM,139.777 MB
CPU,46.7
MEM,152.633 MB
CPU,46.7
MEM,166.488 MB
CPU,66.7
MEM,180.727 MB
CPU,40.0
MEM,197.184 MB
CPU,40.0
MEM,212.395 MB
CPU,40.0
MEM,227.09 MB
CPU,33.3
MEM,241.527 MB
CPU,33.3
MEM,256.48 MB
CPU,60.0
MEM,271.945 MB
CPU,43.8
MEM,287.414 MB
CPU,46.7
MEM,302.367 MB
CPU,40.0
MEM,317.945 MB
CPU,40.0
MEM,334.047 MB
CPU,46.7
MEM,349.227 MB
CPU,46.7
MEM,365.043 MB
CPU,46.7
MEM,378.949 MB
CPU,53.3
MEM,393.879 MB
CPU,66.7
MEM,411.074 MB
CPU,53.3
MEM,426.988 MB
CPU,46.7
MEM,442.199 MB
CPU,46.7
MEM,458.957 MB
CPU,62.5
MEM,475.906 MB
CPU,37.5
MEM,493.875 MB
CPU,46.7
MEM,481.293 MB
CPU,40.0
MEM,483.449 MB
CPU,33.3
MEM,509.82 MB
CPU,40.0
MEM,505.133 MB
CPU,53.3
MEM,510.754 MB
CPU,60.0
MEM,521.375 MB
CPU,53.3
MEM,534.547 MB
CPU,40.0
MEM,552.734 MB
CPU,60.0
MEM,559.652 MB
CPU,53.3
MEM,571.031 MB
CPU,53.3
MEM,567.285 MB
CPU,60.0
MEM,582.777 MB
CPU,40.0
MEM,587.945 MB
CPU,37.5
MEM,603.188 MB
CPU,46.7
MEM,611.59 MB
CPU,40.0
MEM,610.988 MB
CPU,46.7
MEM,614.801 MB
CPU,6.7
MEM,633.828 MB
CPU,40.0
MEM,649.684 MB
CPU,26.7
MEM,655.5 MB
CPU,26.7
MEM,674.371 MB
CPU,40.0
MEM,689.328 MB
CPU,26.7
MEM,705.008 MB
CPU,26.7
MEM,699.855 MB
CPU,31.2
MEM,692.141 MB
CPU,40.0
MEM,712.641 MB
CPU,31.2
MEM,714.395 MB
CPU,40.0
MEM,720.531 MB
CPU,26.7
MEM,692.156 MB
CPU,26.7
MEM,709.469 MB
CPU,26.7
MEM,713.406 MB
CPU,25.0
MEM,716.262 MB
CPU,37.5
MEM,715.559 MB
CPU,31.2
MEM,720.355 MB
CPU,33.3
MEM,722.598 MB
CPU,40.0
MEM,724.551 MB
CPU,12.5
MEM,725.152 MB
CPU,13.3
MEM,724.863 MB
