Type,Value
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,6.7
MEM,2.08984 MB
CPU,0.0
MEM,10.6445 MB
CPU,0.0
MEM,11.6758 MB
CPU,6.7
MEM,11.6758 MB
CPU,13.3
MEM,11.6758 MB
CPU,26.7
MEM,11.9336 MB
CPU,20.0
MEM,16.5742 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,31.2
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,18.8
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,18.8
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,13.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,13.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,26.7
MEM,17.0898 MB
CPU,40.0
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,33.3
MEM,17.0898 MB
CPU,20.0
MEM,17.0898 MB
CPU,6.7
MEM,17.0898 MB
CPU,0.0
MEM,17.0039 MB
