Type,Value
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.125 MB
CPU,0.0
MEM,41.8906 MB
CPU,0.0
MEM,41.8906 MB
CPU,0.0
MEM,41.8906 MB
CPU,13.3
MEM,42.6602 MB
CPU,20.0
MEM,42.7383 MB
CPU,6.7
MEM,42.0391 MB
CPU,6.7
MEM,42.1562 MB
CPU,6.7
MEM,43.2227 MB
CPU,6.2
MEM,44.3945 MB
CPU,6.7
MEM,45.1641 MB
CPU,0.0
MEM,46.1758 MB
CPU,0.0
MEM,46.4258 MB
CPU,6.7
MEM,46.4258 MB
CPU,6.7
MEM,46.4258 MB
CPU,6.7
MEM,46.4258 MB
CPU,6.7
MEM,46.4258 MB
CPU,6.7
MEM,46.4258 MB
CPU,0.0
MEM,46.4258 MB
CPU,0.0
MEM,46.4258 MB
CPU,6.7
MEM,46.6836 MB
CPU,0.0
MEM,46.6836 MB
CPU,6.7
MEM,46.6836 MB
CPU,6.7
MEM,46.6836 MB
CPU,0.0
MEM,46.6836 MB
CPU,13.3
MEM,46.6836 MB
CPU,6.7
MEM,46.9414 MB
CPU,6.7
MEM,46.9414 MB
CPU,13.3
MEM,46.9414 MB
CPU,0.0
MEM,46.9414 MB
CPU,6.7
MEM,46.9414 MB
CPU,0.0
MEM,46.9414 MB
CPU,0.0
MEM,47.1562 MB
CPU,0.0
MEM,47.1562 MB
CPU,0.0
MEM,48.1836 MB
CPU,6.7
MEM,48.1836 MB
CPU,6.7
MEM,48.6992 MB
CPU,6.7
MEM,48.6992 MB
CPU,0.0
MEM,48.6992 MB
CPU,0.0
MEM,48.6992 MB
CPU,0.0
MEM,48.6992 MB
CPU,6.7
MEM,48.6992 MB
CPU,0.0
MEM,48.6992 MB
CPU,6.7
MEM,48.6992 MB
CPU,6.7
MEM,48.9531 MB
CPU,0.0
MEM,48.9531 MB
CPU,0.0
MEM,48.9531 MB
CPU,6.7
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,6.7
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,6.7
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,0.0
MEM,49.2031 MB
CPU,6.7
MEM,49.2031 MB
CPU,0.0
MEM,49.4141 MB
