Type,Value
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.9336 MB
CPU,0.0
MEM,40.7773 MB
CPU,0.0
MEM,39.5938 MB
CPU,40.0
MEM,44.9297 MB
CPU,0.0
MEM,50.0586 MB
CPU,0.0
MEM,54.9141 MB
CPU,93.3
MEM,57.3828 MB
CPU,86.7
MEM,59.6172 MB
CPU,99.9
MEM,60.6367 MB
CPU,99.9
MEM,61.668 MB
CPU,93.3
MEM,62.4336 MB
CPU,93.3
MEM,62.9492 MB
CPU,93.3
MEM,64.2305 MB
CPU,99.9
MEM,65.0039 MB
CPU,99.9
MEM,66.0273 MB
CPU,99.9
MEM,66.7969 MB
CPU,87.5
MEM,67.2773 MB
CPU,86.7
MEM,67.2773 MB
CPU,99.9
MEM,67.5352 MB
CPU,93.3
MEM,67.5352 MB
CPU,99.9
MEM,67.5352 MB
CPU,
MEM,
