Type,Value
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,2.03906 MB
CPU,0.0
MEM,10.5938 MB
CPU,0.0
MEM,14.9766 MB
CPU,0.0
MEM,14.9766 MB
CPU,20.0
MEM,14.9766 MB
CPU,33.3
MEM,15.4922 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,13.3
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,13.3
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,40.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,13.3
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,12.5
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,23.5
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,33.3
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,26.7
MEM,16.2656 MB
CPU,20.0
MEM,16.2656 MB
CPU,13.3
MEM,16.2656 MB
CPU,13.3
MEM,16.2656 MB
