Type,Value
CPU,0.0
MEM,40.9883 MB
CPU,0.0
MEM,40.9883 MB
CPU,0.0
MEM,40.9883 MB
CPU,0.0
MEM,41.3438 MB
CPU,0.0
MEM,40.1523 MB
CPU,6.7
MEM,40.1523 MB
CPU,0.0
MEM,48.6836 MB
CPU,0.0
MEM,49.1953 MB
CPU,0.0
MEM,49.1953 MB
CPU,25.0
MEM,53.5039 MB
CPU,40.0
MEM,56.8477 MB
CPU,20.0
MEM,58.1328 MB
CPU,26.7
MEM,58.3906 MB
CPU,33.3
MEM,58.3906 MB
CPU,26.7
MEM,58.3906 MB
CPU,25.0
MEM,58.5625 MB
CPU,33.3
MEM,58.5625 MB
CPU,26.7
MEM,59.0625 MB
CPU,26.7
MEM,59.3203 MB
CPU,26.7
MEM,59.8359 MB
CPU,26.7
MEM,60.6055 MB
CPU,26.7
MEM,61.3789 MB
CPU,26.7
MEM,62.1406 MB
CPU,25.0
MEM,62.3984 MB
CPU,26.7
MEM,62.9141 MB
CPU,20.0
MEM,63.4258 MB
CPU,20.0
MEM,63.9414 MB
CPU,33.3
MEM,64.1992 MB
CPU,31.2
MEM,63.1094 MB
CPU,20.0
MEM,63.1094 MB
CPU,26.7
MEM,63.1094 MB
CPU,26.7
MEM,63.1094 MB
CPU,20.0
MEM,63.1094 MB
CPU,26.7
MEM,63.1094 MB
CPU,33.3
MEM,63.207 MB
CPU,20.0
MEM,63.207 MB
CPU,25.0
MEM,63.207 MB
CPU,26.7
MEM,63.207 MB
CPU,26.7
MEM,63.207 MB
CPU,33.3
MEM,63.207 MB
CPU,26.7
MEM,63.207 MB
CPU,20.0
MEM,63.4648 MB
CPU,26.7
MEM,63.9766 MB
CPU,26.7
MEM,64.2344 MB
CPU,26.7
MEM,64.4922 MB
CPU,40.0
MEM,63.5625 MB
CPU,20.0
MEM,63.5625 MB
CPU,26.7
MEM,63.5625 MB
CPU,20.0
MEM,63.5625 MB
CPU,26.7
MEM,63.5625 MB
CPU,20.0
MEM,63.5625 MB
CPU,20.0
MEM,63.5625 MB
CPU,26.7
MEM,63.5625 MB
CPU,26.7
MEM,63.5625 MB
CPU,33.3
MEM,63.5625 MB
CPU,33.3
MEM,63.5625 MB
CPU,31.2
MEM,63.5625 MB
CPU,40.0
MEM,63.5625 MB
CPU,33.3
MEM,63.8203 MB
CPU,33.3
MEM,64.332 MB
CPU,26.7
MEM,64.8477 MB
CPU,26.7
MEM,65.1055 MB
CPU,26.7
MEM,63.9531 MB
CPU,26.7
MEM,63.9531 MB
CPU,33.3
MEM,63.9531 MB
CPU,33.3
MEM,63.9531 MB
CPU,26.7
MEM,63.9531 MB
CPU,26.7
MEM,63.9531 MB
CPU,33.3
MEM,63.9531 MB
CPU,33.3
MEM,63.9531 MB
CPU,33.3
MEM,63.9531 MB
CPU,40.0
MEM,63.9531 MB
CPU,31.2
MEM,63.9531 MB
CPU,33.3
MEM,64.0664 MB
CPU,33.3
MEM,64.0664 MB
CPU,26.7
MEM,64.0664 MB
CPU,33.3
MEM,64.0664 MB
CPU,26.7
MEM,64.5781 MB
CPU,20.0
MEM,65.0938 MB
CPU,40.0
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,37.5
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,20.0
MEM,64.2773 MB
CPU,33.3
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,20.0
MEM,64.2773 MB
CPU,33.3
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,26.7
MEM,64.2773 MB
CPU,26.7
MEM,64.793 MB
CPU,25.0
MEM,64.793 MB
CPU,26.7
MEM,64.793 MB
CPU,25.0
MEM,65.0508 MB
CPU,33.3
MEM,65.3047 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,26.7
MEM,64.3359 MB
CPU,20.0
MEM,64.3359 MB
CPU,33.3
MEM,64.4727 MB
CPU,26.7
MEM,64.4727 MB
CPU,33.3
MEM,64.4727 MB
CPU,26.7
MEM,64.4727 MB
CPU,33.3
MEM,64.4727 MB
CPU,26.7
MEM,64.4727 MB
CPU,26.7
MEM,64.7305 MB
CPU,33.3
MEM,65.2461 MB
