Type,Value
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,0.0
MEM,2.08984 MB
CPU,13.3
MEM,4.45703 MB
CPU,6.7
MEM,12.707 MB
CPU,0.0
MEM,14.2539 MB
CPU,20.0
MEM,14.2539 MB
CPU,18.8
MEM,14.2539 MB
CPU,26.7
MEM,15.2852 MB
CPU,31.2
MEM,15.2852 MB
CPU,26.7
MEM,15.543 MB
CPU,33.3
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,18.8
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,25.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,40.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,33.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,18.8
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,13.3
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,26.7
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
CPU,20.0
MEM,15.543 MB
