Type,Value
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,0.0
MEM,3.8125 MB
CPU,26.7
MEM,9.13281 MB
CPU,0.0
MEM,19.2188 MB
CPU,0.0
MEM,26.6406 MB
CPU,20.0
MEM,26.6406 MB
CPU,53.3
MEM,28.1875 MB
CPU,93.3
MEM,30.7656 MB
CPU,99.9
MEM,34.375 MB
CPU,66.7
MEM,34.8906 MB
CPU,73.3
MEM,34.8906 MB
CPU,93.3
MEM,36.1758 MB
CPU,73.3
MEM,36.1758 MB
CPU,80.0
MEM,36.1758 MB
CPU,86.7
MEM,36.1758 MB
CPU,75.0
MEM,36.1758 MB
CPU,73.3
MEM,36.1758 MB
CPU,86.7
MEM,36.1758 MB
CPU,93.3
MEM,36.1758 MB
CPU,66.7
MEM,36.1758 MB
CPU,93.3
MEM,36.1758 MB
CPU,86.7
MEM,36.1758 MB
CPU,86.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,60.0
MEM,36.4219 MB
CPU,93.3
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,93.3
MEM,36.4219 MB
CPU,99.9
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,75.0
MEM,36.4219 MB
CPU,99.9
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,81.2
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,93.3
MEM,36.4219 MB
CPU,99.9
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,60.0
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,75.0
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,60.0
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,93.3
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,66.7
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,86.7
MEM,36.4219 MB
CPU,73.3
MEM,36.4219 MB
CPU,80.0
MEM,36.4219 MB
CPU,20.0
MEM,36.4219 MB
CPU,0.0
MEM,36.4219 MB
CPU,0.0
MEM,36.4219 MB
