Type,Value
CPU,0.0
MEM,40.9766 MB
CPU,0.0
MEM,40.9766 MB
CPU,0.0
MEM,40.9766 MB
CPU,0.0
MEM,40.9766 MB
CPU,20.0
MEM,40.9766 MB
CPU,0.0
MEM,41.8008 MB
CPU,0.0
MEM,41.3242 MB
CPU,0.0
MEM,41.3242 MB
CPU,0.0
MEM,41.5586 MB
CPU,0.0
MEM,41.8164 MB
CPU,0.0
MEM,41.8164 MB
CPU,6.7
MEM,41.332 MB
CPU,0.0
MEM,41.5898 MB
CPU,0.0
MEM,41.5898 MB
CPU,0.0
MEM,42.1055 MB
CPU,0.0
MEM,41.3633 MB
CPU,0.0
MEM,41.3633 MB
CPU,0.0
MEM,41.8789 MB
CPU,6.7
MEM,42.1367 MB
CPU,0.0
MEM,41.1367 MB
CPU,0.0
MEM,41.6445 MB
CPU,0.0
MEM,41.9023 MB
CPU,0.0
MEM,41.9023 MB
CPU,6.7
MEM,41.8906 MB
CPU,0.0
MEM,42.6562 MB
CPU,0.0
MEM,42.6562 MB
CPU,6.7
MEM,43.1641 MB
CPU,0.0
MEM,42.7266 MB
CPU,0.0
MEM,42.9805 MB
CPU,0.0
MEM,43.9961 MB
CPU,0.0
MEM,44.5117 MB
CPU,6.7
MEM,44.7656 MB
CPU,0.0
MEM,44.1875 MB
CPU,0.0
MEM,44.4453 MB
CPU,0.0
MEM,44.6992 MB
CPU,6.7
MEM,45.2109 MB
CPU,0.0
MEM,44.4609 MB
CPU,0.0
MEM,44.7148 MB
CPU,0.0
MEM,44.9727 MB
CPU,0.0
MEM,45.2305 MB
CPU,6.7
MEM,45.2305 MB
CPU,0.0
MEM,44.7344 MB
CPU,0.0
MEM,44.9922 MB
CPU,6.7
MEM,44.9922 MB
CPU,6.7
MEM,45.25 MB
CPU,6.7
MEM,45.5078 MB
CPU,0.0
MEM,44.9141 MB
CPU,0.0
MEM,45.1719 MB
CPU,0.0
MEM,45.1719 MB
CPU,0.0
MEM,45.4219 MB
CPU,6.7
MEM,45.6797 MB
CPU,0.0
MEM,44.9336 MB
CPU,0.0
MEM,44.9336 MB
CPU,0.0
MEM,45.1875 MB
CPU,0.0
MEM,45.4453 MB
CPU,6.7
MEM,45.7031 MB
CPU,0.0
MEM,44.9727 MB
CPU,0.0
MEM,44.9727 MB
CPU,0.0
MEM,45.2305 MB
CPU,6.7
MEM,45.4883 MB
CPU,0.0
MEM,45.7461 MB
CPU,0.0
MEM,45.0117 MB
CPU,0.0
MEM,45.0117 MB
CPU,0.0
MEM,45.2695 MB
CPU,0.0
MEM,45.5273 MB
CPU,0.0
MEM,45.7852 MB
CPU,0.0
MEM,45.043 MB
CPU,0.0
MEM,45.043 MB
CPU,0.0
MEM,45.3008 MB
CPU,0.0
MEM,45.5586 MB
CPU,0.0
MEM,45.5586 MB
CPU,0.0
MEM,44.8125 MB
CPU,0.0
MEM,45.0664 MB
CPU,0.0
MEM,45.3242 MB
CPU,0.0
MEM,45.3242 MB
CPU,6.7
MEM,45.5781 MB
CPU,0.0
MEM,44.9453 MB
CPU,0.0
MEM,45.2031 MB
CPU,0.0
MEM,45.2031 MB
CPU,0.0
MEM,45.4609 MB
CPU,0.0
MEM,44.8984 MB
CPU,0.0
MEM,45.1562 MB
CPU,6.7
MEM,45.1562 MB
CPU,0.0
MEM,45.4141 MB
CPU,0.0
MEM,44.8633 MB
CPU,6.7
MEM,44.8633 MB
CPU,6.7
MEM,45.1211 MB
CPU,6.7
MEM,45.375 MB
CPU,0.0
MEM,45.6328 MB
CPU,0.0
MEM,45.6328 MB
CPU,0.0
MEM,44.9531 MB
CPU,6.7
MEM,45.2109 MB
CPU,0.0
MEM,45.2109 MB
CPU,0.0
MEM,45.7266 MB
CPU,0.0
MEM,45.9805 MB
CPU,0.0
MEM,45.418 MB
CPU,0.0
MEM,45.6758 MB
CPU,6.7
MEM,45.6758 MB
CPU,6.7
MEM,45.9336 MB
CPU,6.7
MEM,46.1875 MB
CPU,0.0
MEM,45.1992 MB
CPU,0.0
MEM,45.457 MB
CPU,6.7
MEM,45.7148 MB
CPU,0.0
MEM,45.9727 MB
CPU,0.0
MEM,45.9727 MB
CPU,0.0
MEM,45.4062 MB
CPU,0.0
MEM,46.0625 MB
