Type,Value
CPU,0.0
MEM,2.08594 MB
CPU,0.0
MEM,2.08594 MB
CPU,0.0
MEM,2.08594 MB
CPU,0.0
MEM,2.08594 MB
CPU,6.7
MEM,2.08594 MB
CPU,0.0
MEM,13.4766 MB
CPU,20.0
MEM,16.0547 MB
CPU,0.0
MEM,21.7266 MB
CPU,33.3
MEM,21.9844 MB
CPU,53.3
MEM,25.5938 MB
CPU,46.7
MEM,25.5938 MB
CPU,46.7
MEM,25.8516 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,56.2
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,73.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,73.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,50.0
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,40.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,66.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,46.7
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,60.0
MEM,25.918 MB
CPU,53.3
MEM,25.918 MB
CPU,13.3
MEM,25.918 MB
