Type,Value
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,6.7
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,13.3
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,6.7
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
CPU,0.0
MEM,8.69141 MB
