Type,Value
CPU,0.0
MEM,2.09766 MB
CPU,0.0
MEM,2.09766 MB
CPU,0.0
MEM,2.09766 MB
CPU,0.0
MEM,2.09766 MB
CPU,0.0
MEM,2.09766 MB
CPU,13.3
MEM,4.72266 MB
CPU,13.3
MEM,11.4258 MB
CPU,0.0
MEM,12.7148 MB
CPU,6.7
MEM,12.7148 MB
CPU,20.0
MEM,12.9727 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,25.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,6.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,18.8
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,18.8
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,18.8
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,13.3
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,26.7
MEM,13.7461 MB
CPU,20.0
MEM,13.7461 MB
CPU,20.0
MEM,14.2617 MB
CPU,0.0
MEM,14.2617 MB
