Type,Value
CPU,0.0
MEM,3.70312
CPU,0.0
MEM,3.70312
CPU,0.0
MEM,3.70312
CPU,0.0
MEM,3.70312
CPU,6.7
MEM,5.25781
CPU,0.0
MEM,6.46094
CPU,0.0
MEM,6.46094
CPU,0.0
MEM,6.46094
CPU,0.0
MEM,7.87109
CPU,6.7
MEM,10.8633
CPU,6.7
MEM,13.0469
CPU,6.7
MEM,15.293
CPU,13.3
MEM,16.1094
CPU,6.7
MEM,16.8711
CPU,6.7
MEM,17.6328
CPU,0.0
MEM,18.3867
CPU,6.7
MEM,19.1523
CPU,6.2
MEM,19.1523
CPU,13.3
MEM,19.1523
CPU,6.7
MEM,19.1523
CPU,6.7
MEM,19.4062
CPU,13.3
MEM,20.1719
CPU,6.7
MEM,20.9375
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.2
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,12.5
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,0.0
MEM,21.7031
CPU,6.7
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,13.3
MEM,21.7031
CPU,
MEM,21.7031
